PublicationID,Year,Citation,ArticleTitle,DOI
52,1985,"Gajewski, K., M.G. Winkler, and A.M. Swain. 1985. Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.). Review of Palaeobotany and Palynology 44(3-4):277-292. http://www.sciencedirect.com/science/article/pii/0034666785900211.",Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.),NULL
53,1967,"Gilliam, J.A., R.O. Kapp, and R.D. Bogue. 1967. A post-Wisconsin pollen sequence from Vestaburg Bog, Montcalm County, Michigan. Papers of the Michigan Academy of Science, Arts, and Letters 52(1):3-17.","A post-Wisconsin pollen sequence from Vestaburg Bog, Montcalm County, Michigan",NULL
54,1983,"Grimm, E.C. 1983. Chronology and dynamics of vegetation change in the prairie-woodland region of southern Minnesota, U.S.A. New Phytologist 93:311-350.","Chronology and dynamics of vegetation change in the prairie-woodland region of southern Minnesota, U.S.A.",NULL
55,1975,"Hadden, K.A. 1975. A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia. Canadian Journal of Botany 53(1):39-47. http://www.nrcresearchpress.com/doi/abs/10.1139/b75-005#.Uko15YbbMYk.","A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia",NULL
57,1979,"Jacobson, G.L., Jr. 1979. The palaeoecology of white pine (Pinus strobus) in Minnesota. Journal of Ecology 67:697-726.",The palaeoecology of white pine (Pinus strobus) in Minnesota,NULL
60,1977,"King, J.E., and W.H. Allen, Jr. 1977. A Holocene vegetation record from the Mississippi River valley, southeastern Missouri. Quaternary Research 8(3):307-323. http://www.sciencedirect.com/science/article/pii/0033589477900746. [DOI: 10.1016/0033-5894(77)90074-6]","A Holocene vegetation record from the Mississippi River valley, southeastern Missouri",10.1016/0033-5894(77)90074-6
61,1978,"King, J.E. 1978. New evidence on the history of the St. Francis Sunk Lands, northeastern Arkansas. Geological Society of America Bulletin 89(12):1719-1722. http://gsabulletin.gsapubs.org/content/89/12/1719. [DOI: 10.1130/0016-7606(1978)89<1719:NEOTHO>2.0.CO;2]","New evidence on the history of the St. Francis Sunk Lands, northeastern Arkansas",10.1130/0016-7606(1978)89<1719:NEOTHO>2.0.CO;2
62,1981,"King, J.E. 1981. Late Quaternary vegetational history of Illinois. Ecological Monographs 51(1):43-62. http://www.jstor.org/stable/2937306.",Late Quaternary vegetational history of Illinois,NULL
63,1972,"Larson, D.A., V.M. Bryant, Jr., and T.S. Patty. 1972. Pollen analysis of a central Texas bog. American Midland Naturalist 88(2):358-367. http://www.jstor.org/stable/2424360.",Pollen analysis of a central Texas bog,NULL
64,1985,"Liu, K.-B., and N.S.-N. Lam. 1985. Paleovegetational reconstruction based on modern and fossil pollen data: an application of discriminant analysis. Annals of the Association of American Geographers 75(1):115-130. http://www.jstor.org/stable/2563179.",Paleovegetational reconstruction based on modern and fossil pollen data: an application of discriminant analysis,NULL
65,1982,"Macpherson, J.B. 1982. Postglacial vegetational history of the eastern Avalon Peninsula, Newfoundland, and Holocene climatic change along the eastern Canadian seaboard. Géographie physique et Quaternaire 36:175-196.",NULL,NULL
66,1973,"Miller, N.G. 1973. Late-glacial and postglacial vegetation change in southwestern New York State. Bulletin 420, New York State Museum and Science Service, The State Education Department, Albany, New York, USA..","Late-glacial and postglacial vegetation change in southwestern New York State. Bulletin 420, New York State Museum and Science Service, The State Education Department, Albany, New York, USA.",NULL
67,1981,"Albert, L.E., and D.G. Wyckoff. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Oklahoma Archaeological Survey, Studies in Oklahoma's Past, Number 7.",NULL,NULL
68,1980,"Anderson, T.W. 1980. Holocene vegetation and climatic history of Prince Edward Island, Canada. Canadian Journal of Earth Sciences 17:1152-1165.",NULL,NULL
69,1982,"McAndrews, J.H., J.L. Riley, and A.M. Davis. 1982. Vegetation history of the Hudson Bay Lowland: a postglacial pollen diagram from the Sutton Ridge. Naturaliste Canadien 109:597-608.",NULL,NULL
71,1978,"Mott, R.J., and L.D. Farley-Gill. 1978. A late-Quaternary pollen profile from Woodstock, Ontario. Canadian Journal of Earth Sciences 15:1101-1111.",NULL,NULL
72,1991,"Beiswenger, J.M. 1991. Late Quaternary vegetational history of Grays Lake, Idaho. Ecological Monographs 61:165-182..","Late Quaternary vegetational history of Grays Lake, Idaho. Ecological Monographs 61:165-182.",NULL
74,1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",NULL,NULL
75,1975,"Mott, R.J. 1975. Palynological studies of lake sediment profiles from southwestern New Brunswick. Canadian Journal of Earth Sciences 12:273-288.",NULL,NULL
76,1966,"Ogden, J.G., III. 1966. Forest history of Ohio. I. Radiocarbon dates and pollen stratigraphy of Silver Lake, Logan County, Ohio. The Ohio Journal of Science 66:387-400.",NULL,NULL
77,1975,"Ritchie, J.C., and K.A. Hadden. 1975. Pollen stratigraphy of Holocene sediments from the Grand Rapids area, Manitoba, Canada. Review of Palaeobotany and Palynology 19:193-202.",NULL,NULL
78,1964,"Ritchie, J.C. 1964. Contributions to the Holocene paleoecology of west central Canada. 1. The Riding Mountain area. Canadian Journal of Botany 42:181-196.",NULL,NULL
79,1969,"Ritchie, J.C. 1969. Absolute pollen frequencies and carbon-14 age of a section of Holocene lake sediment from the Riding Mountain area of Manitoba. Canadian Journal of Botany 47:1345-1349.",NULL,NULL
81,1975,"Shane, L.C.K. 1975. Palynology and radiocarbon chronology of Battaglia Bog, Portage County, Ohio. Ohio Journal of Science 75:96-102.",NULL,NULL
82,1976,"Spear, R.W., and N.G. Miller. 1976. A radiocarbon dated pollen diagram from the Allegheny Plateau of New York State. Journal of the Arnold Arboretum 57:369-403.",NULL,NULL
83,1978,"Swain, A.M. 1978. Environmental changes during the past 2000 years in north-central Wisconsin: analysis of pollen, charcoal, and seeds from varved lake sediments. Quaternary Research 10:55-68.",NULL,NULL
85,1979,"Van Zant, K.L. 1979. Late glacial and postglacial pollen and plant macrofossils from Lake West Okoboji, northwestern Iowa. Quaternary Research 12:358-380.",NULL,NULL
86,1973,"Vincent, J.-S. 1973. A palynological study for the Little Clay Belt, northwestern Québec. Naturaliste Canadien 100:59-70.",NULL,NULL
87,1969,"Watts, W.A. 1969. A pollen diagram from Mud Lake, Marion County, north-central Florida. Geological Society of America Bulletin 80:631-642.",NULL,NULL
88,1970,"Watts, W.A. 1970. The full-glacial vegetation of northwestern Georgia. Ecology 51:17-33.",NULL,NULL
89,1974,"Webb, T. III. 1974. A vegetational history from northern Wisconsin: evidence from modern and fossil pollen. The American Midland Naturalist 92:12-34.",NULL,NULL
90,1972,"Whitehead, D.R. 1972. Developmental and environmental history of the Dismal Swamp. Ecological Monographs 42:301-315.",NULL,NULL
91,1981,"Whitehead, D.R. 1981. Late-Pleistocene vegetational changes in northeastern North Carolina. Ecological Monographs 51:451-471.",NULL,NULL
92,1974,"Williams, A.S. 1974. Late-glacial—postglacial vegetational history of the Pretty Lake region, northeastern Indiana. U.S. Geological Survey Professional Paper 686-B. U. S. Government Printing Office, Washington DC, USA.",NULL,NULL
93,1963,"Wright, H.E., Jr., T.C. Winter, and H.L. Patten. 1963. Two pollen diagrams from southeastern Minnesota: problems in the regional late-glacial and postglacial vegetational history. Geological Society of America Bulletin 74:1371-1396.",NULL,NULL
94,1969,"Wright, H.E., Jr., and W.A. Watts. 1969. Glacial and vegetational history of northeastern Minnesota. Minnesota Geological Survey SP-11. Special Publications Series, University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
95,1984,"Labelle, C., and P.J.H. Richard. 1984. Histoire postglaciaire de la végétation dans la région de Mont-Saint-Pierre, Gaspésie, Quebec. Géographie physique et Quaternaire 38:257-274.",NULL,NULL
96,1978,"Manny, B.A., R.G. Wetzel, and R.E. Bailey. 1978. Paleolimnological sedimentation of organic carbon, nitrogen, phosphorous, fossil pigments, pollen, and diatoms in a hypereutrophic, hardwater lake: a case history of eutrophication. Polskie Archiwum Hydrobiologii 25:243-267.",NULL,NULL
97,1977,"McAndrews, J.H., and G. Samson. 1977. Analyse pollinique et implications archéologiques et géomorphologiques, lac de la Hutte Sauvage (Mushuau Nipi), Nouveau-Québec. Géographie physique et Quaternaire 31:177-183.",NULL,NULL
98,1976,"Mott, R.J. 1976. A Holocene pollen profile from the Sept-Iles area, Québec. Naturaliste Canadien 103:457-467.",NULL,NULL
99,1977,"Mott, R.J. 1977. Late-Pleistocene and Holocene palynology in southeastern Québec. Géographie physique et Quaternaire 31:139-149.",NULL,NULL
100,1979,"Richard, P.J.H. 1979. Contribution à l'histoire postglaciaire de la végétation au nord-est de la Jamésie, Nouveau-Québec. Géographie physique et Quaternaire 33:93-112.",NULL,NULL
101,1982,"Richard, P.J.H., A.C. Larouche, and M.A. Bouchard. 1982. Age de la déglaciation finale et histoire postglaciaire de la végétation dans la partie centrale du Nouveau-Québec. Géographie physique et Quaternaire 36:63-90.",NULL,NULL
102,1979,"Savoie, L., and P.J.H. Richard. 1979. Paléophytogéographie de l'épisode de Saint-Narcisse dans la région de Sainte-Agathe, Québec. Géographie physique et Quaternaire 33:175-188.",NULL,NULL
103,1975,"Watts, W.A. 1975. A late Quaternary record of vegetation from Lake Annie, south-central Florida. Geology 3:344-346.",NULL,NULL
104,1980,"Watts, W.A. 1980. Late-Quaternary vegetation history at White Pond on the inner coastal plain of South Carolina. Quaternary Research 13:187-199.",NULL,NULL
105,1978,"Whitehead, D.R., and T.L. Crisman. 1978. Paleolimnological studies of small New England (U.S.A.) ponds. Part I. Late-glacial and postglacial trophic oscillations. Polskie Archiwum Hydrobiologii 25:471-481.",NULL,NULL
106,1983,"Delcourt, H.R., P.A. Delcourt, and E.C. Spiker. 1983. A 12,000-year record of forest history from Cahaba Pond, St. Clair County, Alabama. Ecology 64:874-887.",NULL,NULL
107,1972,"Maxwell, J.A., and M.B. Davis. 1972. Pollen evidence of Pleistocene and Holocene vegetation on the Allegheny Plateau, Maryland. Quaternary Research 2:506-530.",NULL,NULL
109,1967,"Ogden, J.G., III, and R.J. Hay. 1967. Ohio Wesleyan University natural radiocarbon measurements III. Radiocarbon 9:316-332..",Ohio Wesleyan University natural radiocarbon measurements III. Radiocarbon 9:316-332.,NULL
110,1983,"Webb, S.L. 1983. The Holocene extension of the range of American Beech (Fagus grandifolia) into Wisconsin: paleoecological evidence for long-distance seed dispersal. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
111,1957,"Barclay, F.H. 1957. The natural vegetation of Johnson County, Tennessee past and present. Dissertation. University of Tennessee, Knoxville, Tennessee, USA.",NULL,NULL
112,1981,"Radle, N.J. 1981. Vegetation history and lake-level changes at a saline lake in northeastern South Dakota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
113,1975,"Lawrenz, R.W. 1975. The developmental paleoecology of Green Lake Antrim County, Michigan. Thesis. Central Michigan University, Mount Pleasant, Michigan, USA.",NULL,NULL
114,1978,"Bostwick, L.G. 1978. An environmental framework for cultural change in Maine: pollen influx and percentage diagrams from Monhegan Island. Thesis. University of Maine, Orono, Maine, USA.",NULL,NULL
115,1979,"Anderson, R.S. 1979. A Holocene record of vegetation and fire at Upper South Branch Pond in northern Maine. Thesis. University of Maine, Orono, Maine, USA.",NULL,NULL
116,1971,"Watts, W.A. 1971. Postglacial and interglacial vegetation history of southern Georgia and central Florida. Ecology 52:676-690.",NULL,NULL
118,1978,"Lamb, H.F. 1978. Post-glacial vegetation change in southeastern Labrador. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
119,1981,"Spear, R.W. 1981. The history of high-elevation vegetation in the White Mountains of New Hampshire. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NULL,NULL
121,1984,"Heide, K.M. 1984. Holocene pollen stratigraphy from a lake and small hollow in north-central Wisconsin, USA. Palynology 8:3-19.",NULL,NULL
123,1981,"Kolb, C.R., and G.G. Fredlund. 1981. Palynological studies: Vacherie and Rayburn's Domes, north Louisiana salt dome basin. Top Report E530-02200-T-2, Institute for Environmental Studies, Louisiana State University, Baton Rouge, Louisiana, USA.",NULL,NULL
124,1973,"Bradbury, J.P., and J.C.B. Waddington. 1973. The impact of European settlement on Shagawa Lake, northeastern Minnesota, U.S.A. Pages 289-307 in H.J.B. Birks and R.G. West, editors. Quaternary Plant Ecology. Blackwell Scientific, Oxford, England.",NULL,NULL
125,1983,"Anderson, T.W. 1983. Preliminary evidence for late Wisconsinan climatic fluctuations from pollen stratigraphy in Burin Peninsula, Newfoundland. Pages 185-188 in Current Research, Part B, Geological Survey of Canada Paper 83-1B.",NULL,NULL
126,1969,"Craig, A.J. 1969. Vegetational history of the Shenandoah Valley, Virginia. Geological Society of America Special Paper 123:283-296.",NULL,NULL
127,1969,"Davis, M.B. 1969. Climatic changes in southern Connecticut recorded by pollen deposition at Rogers Lake. Ecology 50:409-422.",NULL,NULL
128,1968,"Watts, W.A., and R.C. Bright. 1968. Pollen, seed, and mollusk analysis of a sediment core from Pickerel Lake, northeastern South Dakota. Geological Society of America Bulletin 79(7):855-876. [DOI: 10.1130/0016-7606(1968)79[855:PSAMAO]2.0.CO;2]","Pollen, seed, and mollusk analysis of a sediment core from Pickerel Lake, northeastern South Dakota",10.1130/0016-7606(1968)79[855:PSAMAO]2.0.CO;2
129,1968,"Ritchie, J.C., and S. Lichti-Federovich. 1968. Holocene pollen assemblages from the Tiger Hills, Manitoba. Canadian Journal of Earth Sciences 5:873-880.",NULL,NULL
130,1980,"Lamb, H.F. 1980. Late Quaternary vegetational history of southeastern Labrador. Arctic and Alpine Research 12:117-135.",NULL,NULL
132,1962,"Fries, M. 1962. Pollen profiles of late Pleistocene and recent sediments from Weber Lake, northeastern Minnesota. Ecology 43:295-308.",NULL,NULL
135,1969,"Ogden, J.G., III. 1969. Correlation of contemporary and Late Pleistocene pollen records in the reconstruction of postglacial environments in northeastern North America. Mitteilungen Internationale Vereinigung für Theoretische und Angewandte Limnologie 17:64-77.",NULL,NULL
136,1967,"Nichols, H. 1967. Central Canadian palynology and its relevance to northwestern Europe in the late Quaternary period. Review of Palaeobotany and Palynology 2:231-243.",NULL,NULL
137,1968,"Livingstone, D.A. 1968. Some interstadial and postglacial pollen diagrams from eastern Canada. Ecological Monographs 38:87-125.",NULL,NULL
138,1981,"Bailey, R.E., and P.J. Ahearn. 1981. A late- and postglacial pollen record from Chippewa Bog, Lapeer Co., MI: further examination of white pine and beech immigration into the central Great Lakes region. Pages 53-74 in R.C. Romans, editor. Geobotany II. Plenum Press, New York, New York, USA.",NULL,NULL
139,1981,"McAndrews, J.H. 1981. Late Quaternary climate of Ontario: temperature trends from the fossil pollen record. Pages 319-333 in W.C. Mahaney, editor. Quaternary paleoclimate. Geo Abstracts, Ltd., University of East Anglia, Norwich, United Kingdom.",Late Quaternary climate of Ontario: temperature trends from the fossil pollen record,NULL
140,1982,"McAndrews, J.H. 1982. Holocene environment of a fossil bison from Kenora, Ontario. Ontario Archaeology 37:41-51.",NULL,NULL
141,1975,"Nichols, H. 1975. Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada. Occasional Paper 15. Institute of Arctic and Alpine Research, University of Colorado, Boulder, Colorado, USA.",NULL,NULL
142,1967,"Cushing, E.J. 1967. Late-Wisconsin pollen stratigraphy and the glacial sequence in Minnesota. Pages 59-88 in E.J. Cushing and H.E. Wright, editors. Quaternary Paleoecology. Yale University Press, New Haven, Connecticut, USA.",NULL,NULL
144,1977,"Richard, P.J.H. 1977. Histoire post-wisconsinienne de la végétation du Québec méridional par l'analyse pollinique. Service de la recherche, Direction générale des forêts, Ministère des Terres et Forêts du Québec. Publications et rapports divers. Tome 1, xxiv + 312 p.; tome 2, 142 p.",NULL,NULL
145,1979,"Kay, P.A. 1979. Multivariate statistical estimates of Holocene vegetation and climate change, forest-tundra transition zone, NWT, Canada. Quaternary Research 11:125-140.",NULL,NULL
146,1991,"Wilkins, G.R., P.A. Delcourt, H.R. Delcourt, F.W. Harrison, and M.R. Turner. 1991. Paleoecology of central Kentucky since the last glacial maximum. Quaternary Research 36:224-239.",NULL,NULL
147,1975,"Jordan, R.H. 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern maritime Archaic. Arctic Anthropology 12:92-116.",NULL,NULL
148,1981,"Labelle, C., and P.J.H. Richard. 1981. Végétation tardiglaciaire et postglaciaire au sud-est du Parc des Laurentides, Québec. Géographie physique et Quaternaire 35:345-359.",NULL,NULL
149,1972,"Grüger, E. 1972. Late Quaternary vegetation development in south-central Illinois. Quaternary Research 2:217-231.",NULL,NULL
150,1985,"Suter, S.M. 1985. Late-glacial and Holocene vegetation history in southeastern Massachusetts: a 14,000 year pollen record. Current Research in the Pleistocene 2:87-89.",NULL,NULL
151,1985,"Björck, S. 1985. Deglaciation chronology and revegetation in northwestern Ontario. Canadian Journal of Earth Sciences 22:850-871.",NULL,NULL
152,1970,"Baker, R.G. 1970. A radiocarbon-dated pollen chronology for Wisconsin: Disterhaft Farm Bog revisited. Geological Society of America Abstracts 2:488.",NULL,NULL
153,1990,"Whitehead, D.R., and S.T. Jackson. 1990. The regional vegetational history of the High Peaks (Adirondack Mountains), New York. Bulletin No. 478, New York State Museum, Albany, New York, USA.",NULL,NULL
156,1976,"Shane, L.C.K. 1976. Late-glacial and postglacial palynology and chronology of Darke County, west-central Ohio. Dissertation. Kent State University, Kent, Ohio, USA.",NULL,NULL
157,1985,"Wright, H.E., Jr., J.C. Almendinger, and J. Grüger. 1985. Pollen diagram from the Nebraska sandhills and the age of the dunes. Quaternary Research 24:115-120.",NULL,NULL
158,1988,"Brugam, R.B., E.C. Grimm, and N.M. Eyster-Smith. 1988. Holocene environmental changes in Lily Lake, Minnesota inferred from fossil diatom and pollen assemblages. Quaternary Research 30(1):53-66. [DOI: 10.1016/0033-5894(88)90087-7]","Holocene environmental changes in Lily Lake, Minnesota inferred from fossil diatom and pollen assemblages",10.1016/0033-5894(88)90087-7
