"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"Paleolimnology of a Cape Cod Kettle Pond: Diatoms and Reconstructed pH","Paleolimnology of a Cape Cod Kettle Pond: Diatoms and Reconstructed pH","Estimation of pH optima and tolerances of diatoms in lake sediments by the methods of weighted averaging, least squares and maximum likelihood, and their use for the prediction of lake acidity","Littoral and offshore communities of diatoms, cladocerans and dipterous larvae, and their interpretation in paleolimnology","Fossil diatoms and neogene paleolimnology","Paleolimnology of a Cape Cod Kettle Pond: Diatoms and Reconstructed pH","Paleolimnology of a Cape Cod Kettle Pond: Diatoms and Reconstructed pH","Estimation of pH optima and tolerances of diatoms in lake sediments by the methods of weighted averaging, least squares and maximum likelihood, and their use for the prediction of lake acidity","Littoral and offshore communities of diatoms, cladocerans and dipterous larvae, and their interpretation in paleolimnology"
"Lamb Lake, Manitoba","Moose Lake, Manitoba","Connolly Lake, Manitoba","Red Earth Lake, Manitoba","Landry Lake, Manitoba","Lamb Lake, Manitoba","Moose Lake, Manitoba","Connolly Lake, Manitoba","Red Earth Lake, Manitoba"
"Net Accumulation Rates and the History of Cladoceran Communities","Rapid Asymptotic Species Accumulation in Phytophagous Insect Communities: The Pests of Cacao","Some Physical Factors Affecting the Formation and/or Net Accumulation of Medicarpin in Infection Droplets on White Clover Leaflets","Egg-Size Cycle of a Cladoceran","Evaluation of Methods Used in Computing Net Assimilation Rates of Soybeans (Glycine max (L.) Merrill)1","Net Accumulation Rates and the History of Cladoceran Communities","Rapid Asymptotic Species Accumulation in Phytophagous Insect Communities: The Pests of Cacao","Some Physical Factors Affecting the Formation and/or Net Accumulation of Medicarpin in Infection Droplets on White Clover Leaflets","Egg-Size Cycle of a Cladoceran"
"A history of fire and vegetation in northeastern Minnesota as recorded in lake sediments","Fire in the virgin forests of the Boundary Waters Canoe Area, Minnesota","The importance of fire as a natural ecological factor in Itasca State Park, Minnesota","The Vegetation of Findley Lake Basin","Carbohydrates from lake sediments","A history of fire and vegetation in northeastern Minnesota as recorded in lake sediments","Fire in the virgin forests of the Boundary Waters Canoe Area, Minnesota","The importance of fire as a natural ecological factor in Itasca State Park, Minnesota","The Vegetation of Findley Lake Basin"
"Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts","Late glacial and postglacial pollen and plant macrofossils from Lake West Okoboji, Northwestern Iowa","The Late Quaternary vegetational history of the equatorial mountains","Glacial and postglacial sediments in Lakes Superior and Michigan","Late glacial ice cover and palaeotemperatures on sub-Antarctic Marion Island","Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts","Late glacial and postglacial pollen and plant macrofossils from Lake West Okoboji, Northwestern Iowa","The Late Quaternary vegetational history of the equatorial mountains","Glacial and postglacial sediments in Lakes Superior and Michigan"
"Reversion of Forest to Tundra in the Central Yukon","Regional Stream Sediment and Water Geochemical Data, East Central Yukon [NTS 105N]","Regional Stream Sediment and Water Geochemical Data, East Central Yukon [NTS 105O, 105P]","Regional Stream Sediment and Water Geochemical Reconnaissancedata, West Central Yukon","Larsen Creek, Yukon Territory","Reversion of Forest to Tundra in the Central Yukon","Regional Stream Sediment and Water Geochemical Data, East Central Yukon [NTS 105N]","Regional Stream Sediment and Water Geochemical Data, East Central Yukon [NTS 105O, 105P]","Regional Stream Sediment and Water Geochemical Reconnaissancedata, West Central Yukon"
"A Stratigraphic Record of the Pollen Influx to a Lake in the Big Woods of Minnesota"," Pollen genus Wodehousea and its stratigraphic significance in the Edmonton Formation (Maestrichtian), Alberta, Canada ","Paleobotany of a wild rice lake in Minnesota","Invertebrate Life Cycle Patterns in the Benthos of a Floodplain Lake in Minnesota","Pollen stratigraphy of the lake of vico (Central Italy)","A Stratigraphic Record of the Pollen Influx to a Lake in the Big Woods of Minnesota"," Pollen genus Wodehousea and its stratigraphic significance in the Edmonton Formation (Maestrichtian), Alberta, Canada ","Paleobotany of a wild rice lake in Minnesota","Invertebrate Life Cycle Patterns in the Benthos of a Floodplain Lake in Minnesota"
"Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota","Late Cainozoic stratigraphy, palaeomagnetic chronology and vegetational history from Lake George, N.S.W.","Birds of the St. Croix River Valley, Minnesota and Wisconsin /","Late Quaternary Vegetational History of Illinois","Late-Pleistocene Vegetational Changes in Northeastern North Carolina","Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota","Late Cainozoic stratigraphy, palaeomagnetic chronology and vegetational history from Lake George, N.S.W.","Birds of the St. Croix River Valley, Minnesota and Wisconsin /","Late Quaternary Vegetational History of Illinois"
"Late-Wisconsinan Vegetational History at Wolf Creek, Central Minnesota","Relationships of Environment to Composition, Structure, and Diversity of Forest Communities of the Central Western Cascades of Oregon","Nutrient-Phytoplankton Relationships in the Holland Marsh, Ontario","The Foraging Strategy of Vermivorous Conid Gastropods","The Foraging Specializations of Individual Bumblebees","Late-Wisconsinan Vegetational History at Wolf Creek, Central Minnesota","Relationships of Environment to Composition, Structure, and Diversity of Forest Communities of the Central Western Cascades of Oregon","Nutrient-Phytoplankton Relationships in the Holland Marsh, Ontario","The Foraging Strategy of Vermivorous Conid Gastropods"
"Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan","Climate, Time, and Organisms in Relation to Podzol Development in Michigan Sands; II. Relationships Between Chemical Element Concentrations in Mature Tree Foliage and Upper Humic Horizons1","Sedimentology and Diagenesis of Lower Salina Group (Upper Silurian) Evaporites in Michigan Basin: ABSTRACT","LATE QUATERNARY SUBAQUEOUS OUTWASH DEPOSITS NEAR OTTAWA, CANADA","PROCESSES, BAR MORPHOLOGY, AND SEDIMENTARY STRUCTURES ON BRAIDED OUTWASH FANS, NORTHEASTERN GULF OF ALASKA","Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan","Climate, Time, and Organisms in Relation to Podzol Development in Michigan Sands; II. Relationships Between Chemical Element Concentrations in Mature Tree Foliage and Upper Humic Horizons1","Sedimentology and Diagenesis of Lower Salina Group (Upper Silurian) Evaporites in Michigan Basin: ABSTRACT","LATE QUATERNARY SUBAQUEOUS OUTWASH DEPOSITS NEAR OTTAWA, CANADA"
"Quantitative estimates of temperature changes over the last 2700 years in Michigan based on pollen data","Temperature Changes in the Last 100 Years","Temperature and circulation changes in the eastern North Atlantic during the last 150,000 years: Evidence from the planktonic foraminiferal record","Natural selection associated with birth weight. III. Changes over the last twenty years","Microfossil evidence for changing salinity patterns in the bay of Bengal over the last 20 000 years","Quantitative estimates of temperature changes over the last 2700 years in Michigan based on pollen data","Temperature Changes in the Last 100 Years","Temperature and circulation changes in the eastern North Atlantic during the last 150,000 years: Evidence from the planktonic foraminiferal record","Natural selection associated with birth weight. III. Changes over the last twenty years"
"Pollen indicators of land-use change in southern Connecticut","“AN INSTRUCTIVE FAILURE: THE CONNECTICUT PEACE MOVEMENT, 1919-1939”","URBAN AND REGIONAL CHANGE IN SOUTHERN AFRICA"," Pollen Morphology and Taxonomic Position of the Genus Pentaphragma Wall. (Pentaphragmataceae) ","On the use of the word “absolute” in pollen statistics","Pollen indicators of land-use change in southern Connecticut","“AN INSTRUCTIVE FAILURE: THE CONNECTICUT PEACE MOVEMENT, 1919-1939”","URBAN AND REGIONAL CHANGE IN SOUTHERN AFRICA"," Pollen Morphology and Taxonomic Position of the Genus Pentaphragma Wall. (Pentaphragmataceae) "
"A 16,000 year pollen record of vegetational change in central Texas","Holocene Pollen Diagrams from Subarctic Labrador-Ungava: Vegetational History and Climatic Change","Adjustment to Quaternary Climatic Change by the Colorado River in Central Texas","Late Quaternary Vegetational Change in the Sheep Range, Southern Nevada","Magnetic and pollen stratigraphy of the Uonuma group in Niigata prefecture, north central Japan","A 16,000 year pollen record of vegetational change in central Texas","Holocene Pollen Diagrams from Subarctic Labrador-Ungava: Vegetational History and Climatic Change","Adjustment to Quaternary Climatic Change by the Colorado River in Central Texas","Late Quaternary Vegetational Change in the Sheep Range, Southern Nevada"
"Wetland Succession, Fire and the Pollen Record: A Midwestern Example","Fire and Plant Succession in the New Jersey Pine Barrens","Organizational Effectiveness in the Public Sector: The Example of Municipal Fire Protection","Insect grazing and post-fire plant succession in south-west Australian woodland","British Capital Ship Design and Fire Control in the Dreadnought Era: Sir John Fisher, Arthur Hungerford Pollen, and the Battle Cruiser","Wetland Succession, Fire and the Pollen Record: A Midwestern Example","Fire and Plant Succession in the New Jersey Pine Barrens","Organizational Effectiveness in the Public Sector: The Example of Municipal Fire Protection","Insect grazing and post-fire plant succession in south-west Australian woodland"
"THE PRAIRIE-DECIDUOUS FOREST ECOTONE IN THE UPPER MIDDLE WEST*","FIELD WATER BALANCE AND SIMULATED WATER RELATIONS OF PRAIRIE AND OAK-HICKORY VEGETATION ON DECIDUOUS FOREST SOILS","Depositional and Floristic Interpretations of a Pollen Diagram from Middle Eocene, Claiborne Formation, Upper Mississippi Embayment","Piemontite Schists from Upper Swat, North-West Pakistan","Upper Jurassic pyroclastic rocks in Skye, west Scotland","THE PRAIRIE-DECIDUOUS FOREST ECOTONE IN THE UPPER MIDDLE WEST*","FIELD WATER BALANCE AND SIMULATED WATER RELATIONS OF PRAIRIE AND OAK-HICKORY VEGETATION ON DECIDUOUS FOREST SOILS","Depositional and Floristic Interpretations of a Pollen Diagram from Middle Eocene, Claiborne Formation, Upper Mississippi Embayment","Piemontite Schists from Upper Swat, North-West Pakistan"
"Late- and postglacial climatic change in the northern Midwest, USA: Quantitative estimates derived from fossil pollen spectra by multivariate statistical analysis","Overwintering of the Black Blow Fly, Phormia regina (Meigen), in Indiana","Conservation Education in Indiana","Postglacial emergence of northern Newfoundland"," Late Neoplastic Changes Following Medical Irradiation 1 ","Late- and postglacial climatic change in the northern Midwest, USA: Quantitative estimates derived from fossil pollen spectra by multivariate statistical analysis","Overwintering of the Black Blow Fly, Phormia regina (Meigen), in Indiana","Conservation Education in Indiana","Postglacial emergence of northern Newfoundland"
"Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time","Stevens Pond: A Postglacial Pollen Diagram from a Small Typha Swamp in Northwestern Minnesota, Interpreted from Pollen Indicators and Surface Samples","Murray Springs, a mid-postglacial pollen record from southern Arizona","Chronology of postglacial pollen profiles in the Pacific Northwest (U.S.A.)","Differential Pollen Accumulation in Water-Tank Sediments and Adjacent Soils","Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time","Stevens Pond: A Postglacial Pollen Diagram from a Small Typha Swamp in Northwestern Minnesota, Interpreted from Pollen Indicators and Surface Samples","Murray Springs, a mid-postglacial pollen record from southern Arizona","Chronology of postglacial pollen profiles in the Pacific Northwest (U.S.A.)"
"Pollen Accumulation Rates: Estimates from Late-Glacial Sediment of Rogers Lake","Redeposited pollen in late Wisconsin pollen spectra from east-central Minnesota","Estimates of mortality rates from tag recoveries","CONTRIBUTIONS TO THE HOLOCENE PALEOECOLOGY OF WESTCENTRAL CANADA: A LATE-GLACIAL DEPOSIT FROM THE MISSOURI COTEAU","DOSE RATE DEPENDENCE OF MUTATION RATES FROM <U+03B3>-IRRADIATED POLLEN GRAINS OF MAIZE","Pollen Accumulation Rates: Estimates from Late-Glacial Sediment of Rogers Lake","Redeposited pollen in late Wisconsin pollen spectra from east-central Minnesota","Estimates of mortality rates from tag recoveries","CONTRIBUTIONS TO THE HOLOCENE PALEOECOLOGY OF WESTCENTRAL CANADA: A LATE-GLACIAL DEPOSIT FROM THE MISSOURI COTEAU"
"Holocene pollen and sediment record from the tangle lakes area, central Alaska","Aspects of middle and late triassic palynology. 1. Palynostratigraphical data from the chiclana de segura formation of the Linares-Alcaraz region (southeastern Spain) and correlation with palynological assemblages from the Iberian peninsula","Jurassic plants from the department of Francisco Morazán, central Honduras","Palynological correlation of the upper devonian and lower carboniferous in central Ireland","Revival's Children: A Religious History of Virginia's Eastern Shore. By Kirk Mariner. Salisbury, Maryland: Peninsula Press, 1979. xxiv + 704 pp. $22.95.","Holocene pollen and sediment record from the tangle lakes area, central Alaska","Aspects of middle and late triassic palynology. 1. Palynostratigraphical data from the chiclana de segura formation of the Linares-Alcaraz region (southeastern Spain) and correlation with palynological assemblages from the Iberian peninsula","Jurassic plants from the department of Francisco Morazán, central Honduras","Palynological correlation of the upper devonian and lower carboniferous in central Ireland"
"Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine","Patterns of Burn Wound Sepsis during the Past 30 Years","Sky color near the horizon during a total solar eclipse","Clinico-statistical observations on the general anesthesia during the past five years","Measurement of Concentrations near an Interface during Liquid-Liquid Mass Transfer","Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine","Patterns of Burn Wound Sepsis during the Past 30 Years","Sky color near the horizon during a total solar eclipse","Clinico-statistical observations on the general anesthesia during the past five years"
"Quaternary vegetation history of the Mississippi embayment","Regional Tectonic Features of Inner Gulf Coast Basin and Mississippi Embayment--Implications for Potential Low-Temperature Geothermal Resources: ABSTRACT","Late-Quaternary vegetation history at White Pond on the inner Coastal Plain of South Carolina","Age of Tunica Hills (Louisiana-Mississippi) Quaternary fossiliferous creek deposits; Problems of radiocarbon dates and intermediate valley terraces in coastal plains","Goshen Springs: Late Quaternary Vegetation Record for Southern Alabama","Quaternary vegetation history of the Mississippi embayment","Regional Tectonic Features of Inner Gulf Coast Basin and Mississippi Embayment--Implications for Potential Low-Temperature Geothermal Resources: ABSTRACT","Late-Quaternary vegetation history at White Pond on the inner Coastal Plain of South Carolina","Age of Tunica Hills (Louisiana-Mississippi) Quaternary fossiliferous creek deposits; Problems of radiocarbon dates and intermediate valley terraces in coastal plains"
"Quaternary vegetation history of the Mississippi embayment","Regional Tectonic Features of Inner Gulf Coast Basin and Mississippi Embayment--Implications for Potential Low-Temperature Geothermal Resources: ABSTRACT","Late-Quaternary vegetation history at White Pond on the inner Coastal Plain of South Carolina","Age of Tunica Hills (Louisiana-Mississippi) Quaternary fossiliferous creek deposits; Problems of radiocarbon dates and intermediate valley terraces in coastal plains","Goshen Springs: Late Quaternary Vegetation Record for Southern Alabama","Quaternary vegetation history of the Mississippi embayment","Regional Tectonic Features of Inner Gulf Coast Basin and Mississippi Embayment--Implications for Potential Low-Temperature Geothermal Resources: ABSTRACT","Late-Quaternary vegetation history at White Pond on the inner Coastal Plain of South Carolina","Age of Tunica Hills (Louisiana-Mississippi) Quaternary fossiliferous creek deposits; Problems of radiocarbon dates and intermediate valley terraces in coastal plains"
"Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.)","Comments on “Periodic jökulhlaups from Pleistocene glacial Lake Missoula—New evidence from varved sediments in northern Idaho and Washington,” by Richard B. Waitt, Jr.","High-resolution paleomagnetic record of geomagnetic field fluctuations from the varved sediments of Elk Lake, Minnesota","Relationships between Contemporary Pollen and Vegetation Data from Wisconsin and Michigan, USA","Seasonal succession and microlamina formation in a meromictic lake displaying varved sediments","Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.)","Comments on “Periodic jökulhlaups from Pleistocene glacial Lake Missoula—New evidence from varved sediments in northern Idaho and Washington,” by Richard B. Waitt, Jr.","High-resolution paleomagnetic record of geomagnetic field fluctuations from the varved sediments of Elk Lake, Minnesota","Relationships between Contemporary Pollen and Vegetation Data from Wisconsin and Michigan, USA"
"Contributions to the quaternary history of the New Zealand flora","Soil Resources and Forest Ecology of Menominee County, Wisconsin, Bulletin 85","THE FIXATION OF RADIONUCLIDES FROM ATMOSPHERIC FALLOUT IN PEAT-BOG SPHAGNUM SP., POLYTRICHUM, AND MYRIOPHYLLUM","M. R.—MENTAL RETARDATION (50 minutes, color, 1966). Produced by the Bureau of Handicapped Children, Wisconsin State Department of Public Instruction. Available from the Bureau of Audio-Visual Instruction, University of Wisconsin, 1312 West Johnson Street, Madison, Wisconsin 53701. Purchase price, $360; rental fee, $10","Stevens Pond: A Postglacial Pollen Diagram from a Small Typha Swamp in Northwestern Minnesota, Interpreted from Pollen Indicators and Surface Samples","Contributions to the quaternary history of the New Zealand flora","Soil Resources and Forest Ecology of Menominee County, Wisconsin, Bulletin 85","THE FIXATION OF RADIONUCLIDES FROM ATMOSPHERIC FALLOUT IN PEAT-BOG SPHAGNUM SP., POLYTRICHUM, AND MYRIOPHYLLUM","M. R.—MENTAL RETARDATION (50 minutes, color, 1966). Produced by the Bureau of Handicapped Children, Wisconsin State Department of Public Instruction. Available from the Bureau of Audio-Visual Instruction, University of Wisconsin, 1312 West Johnson Street, Madison, Wisconsin 53701. Purchase price, $360; rental fee, $10"
"CHRONOLOGY AND DYNAMICS OF VEGETATION CHANGE IN THE PRAIRIE-WOODLAND REGION OF SOUTHERN MINNESOTA, U.S.A. *","Fire history and grassland vegetation change: three pollen diagrams from southern British Columbia","The vegetation of the Canadian Prairie Provinces IV. The woody vegetation, Part 1","Postglacial climatic change: vegetation dynamics and the pollen record","The migration of geese as an indicator of climate change in the southern Hudson Bay region between 1715 and 1851","CHRONOLOGY AND DYNAMICS OF VEGETATION CHANGE IN THE PRAIRIE-WOODLAND REGION OF SOUTHERN MINNESOTA, U.S.A. *","Fire history and grassland vegetation change: three pollen diagrams from southern British Columbia","The vegetation of the Canadian Prairie Provinces IV. The woody vegetation, Part 1","Postglacial climatic change: vegetation dynamics and the pollen record"
"A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia","A Pollen Diagram from the Syrian Anti Lebanon","Vertical crustal movements in Nova Scotia as determined from scattered geodetic relevellings","Intertidal Sediments from the South Shore of Cobequid Bay, Bay of Fundy, Nova Scotia, Canada","Vertical Crustal Movements in Nova Scotia as Determined from Scattered Geodetic Relevellings","A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia","A Pollen Diagram from the Syrian Anti Lebanon","Vertical crustal movements in Nova Scotia as determined from scattered geodetic relevellings","Intertidal Sediments from the South Shore of Cobequid Bay, Bay of Fundy, Nova Scotia, Canada"
